DATE,EVENT TYPE,EVENT,PLATFORM,LINK,NOTES
1 Year Ago - Collection Date: 12/09/2026,YouTube Video,pourin champagne for my lost ones,YouTube,@WAR - pourin champagne for my lost ones - YouTube,Views: 14K
1 Year Ago - Collection Date: 12/09/2026,YouTube Video,sin city,YouTube,@WAR - sin city - YouTube,Views: 13K
4 Months Ago - Collection Date: 12/09/2026,YouTube Video,triggered,YouTube,@WAR - triggered,Views: 13K
2026-06-18 00:00:00,YouTube Video,worry,YouTube,@WAR - worry - YouTube,Views: 17.7K
Next Week - 5 Days Ago,Release ,slumdog ,Spotify,[insert tiktok video link],Announced; not yet released
2026-09-02 00:00:00,Release ,slumdog ,YouTube,[insert tiktok video link],Announced; not yet released
